"Story","Title","Result","Date","Stability","Duration (s)"
"C02 f01 s001 installer oracle","C02-F01-s001-01 Connect Oracle database in installer with default settings","SUCCESS","2017-10-22T15:05:19.666Z","0.0","22.09"
"C02 f02 s002 test connection db","C02-F02-S002-01 provider PG server for service with right info","SUCCESS","2017-10-22T15:07:40.284Z","0.0","4.84"
"C03 f01 s001 backup test","C03-F01-s001-01 post a backup","SUCCESS","2017-10-22T16:20:42.265Z","0.0","0.15"
"C03 f01 s001 backup test","C03-F01-s001-02 get backup status","SUCCESS","2017-10-22T16:20:42.411Z","0.0","3.97"
"C03 f01 s001 backup test","C03-F01-s001-03 post a backup secondly","SUCCESS","2017-10-22T16:20:46.383Z","0.0","0.09"
"C03 f01 s001 backup test","C03-F01-s001-04 get backup status until Suceesful","SUCCESS","2017-10-22T16:20:46.471Z","0.0","53.9"
"C06 f01 s001 check integrationpoint status","C06-F01-S001-01 Check SM integration ponit status","SUCCESS","2017-10-22T16:20:27.153Z","0.0","7.98"
"C08 f01 s006 get catalog detail","C08-F01-S006-01 Test get category detail information","ERROR","2017-10-22T16:40:28.545Z","0.0","0.81"
"C02 f02 s003 get service status","c02-F02-S003-01-get services' status","SUCCESS","2017-10-22T15:07:45.147Z","0.0","3.5"
"C02 f02 s004 get pod status","c02-F02-S004-01-get pod's status","SUCCESS","2017-10-22T15:07:48.660Z","0.0","1.0"
"C02 f02 s005 send manifest","c02-F02-S005-01-The service send manifest content to itsma deploy-controller","SUCCESS","2017-10-22T15:07:51.873Z","0.0","3.99"
"C02 f02 s005 create kube resources","c02-F02-S005-01-create kube resources for service itom-smartanalytics","SUCCESS","2017-10-22T15:07:49.778Z","0.0","2.04"
"C02 f02 s006 get install status","c02-F02-S006-01-get installation status by GET /itsma/install","SUCCESS","2017-10-22T15:07:55.861Z","0.0","0.69"
"C02 f02 s006 get install status","c02-F02-S006-02-get cetain services' installation status by GET /itsma/itsma_services/{itsmaServiceName}","SUCCESS","2017-10-22T15:07:56.558Z","0.0","1.1"
