"Story","Title","Result","Date","Stability","Duration (s)"
"C07 f01 s001 integration status check","C07-F01-S001-01 Check Propel integration status with SM","SUCCESS","2017-10-22T16:17:07.651Z","0.0","14.9"
"C07 f01 s002 request service catalog item","C07-F01-S002-01 Request Service Catalog Item and Approve it","SUCCESS","2017-10-22T16:17:22.558Z","0.0","56.7"
"C07 f01 s003 request support catalog item","C07-F01-S003-01 Request Support Catalog Item","SUCCESS","2017-10-22T16:18:19.345Z","0.0","13.83"
"C07 f01 s004 view knowledge article","C07-F01-S004-01 View Knowledge Article","SUCCESS","2017-10-22T16:18:34.145Z","0.0","0.88"
"C07 f02 s001 search with universal","C07-F02-S001-01 Search with Universal","SUCCESS","2017-10-22T16:30:12.651Z","0.0","30.71"
"C07 f02 s002 search with knowledge service support item","C07-F02-S002-01 Search with Articel/Service/Support","SUCCESS","2017-10-22T16:30:44.054Z","0.0","5.49"
"C07 f02 s003 search with history","C07-F02-S003-01 Search with History","SUCCESS","2017-10-22T16:30:49.646Z","0.0","2.31"
"C07 f02 s004 search with typeahead","C07-F02-S004-01 Search with Typeahead","SUCCESS","2017-10-22T16:30:52.051Z","0.0","1.4"
"C07 f03 s001 add group and grant permission","C07-F03-S001-01 Add group and Grant permission","SUCCESS","2017-10-22T16:18:45.661Z","0.0","3.52"
"C07 f04 s001 catalog admin operations","C07-F04-S001-01 Catalog Admin Operations","SUCCESS","2017-10-22T16:18:49.181Z","0.0","0.87"
"C07 f04 s002 category admin operations","C07-F04-S002-01 Category Admin Operations","SUCCESS","2017-10-22T16:18:50.172Z","0.0","1.32"
"C07 f04 s003 policy admin operations","C07-F04-S003-01 Add Policy and update catalog item","SUCCESS","2017-10-22T16:18:51.649Z","0.0","2.27"
"C07 f04 s003 policy admin operations","C07-F04-S003-02 Order catalog item which has policy approval and approve it","SUCCESS","2017-10-22T16:18:53.919Z","0.0","18.98"
"C07 f04 s003 policy admin operations","C07-F04-S003-03 Delete Policy","SUCCESS","2017-10-22T16:19:12.900Z","0.0","0.62"
"C07 f04 s004 content admin operations","C07-F04-S004-01 Content Management Admin Operations","SUCCESS","2017-10-22T16:19:13.549Z","0.0","0.93"
"C07 f04 s005 supplier synchronize requests","C07-F04-S005-01 Supplier Synchronize Service Requests","SUCCESS","2017-10-22T16:19:14.485Z","0.0","18.21"
"C07 f04 s005 supplier synchronize requests","C07-F04-S005-02 Supplier Synchronize Support Requests","SUCCESS","2017-10-22T16:19:32.700Z","0.0","23.56"
