"Story","Title","Result","Date","Stability","Duration (s)"
"C08 f01 s002 get offering list","C08-F01-S002-01 Test get offering list belongs to catalog","ERROR","2017-10-22T16:40:02.550Z","0.0","21.31"
"C08 f01 s003 get offering detail","C08-F01-S003-01 Test get offering detail information","ERROR","2017-10-22T16:40:25.654Z","0.0","1.01"
"C08 f01 s004 get service list","C08-F01-S004-01 Test get service list belongs to catalog","ERROR","2017-10-22T16:40:26.849Z","0.0","0.9"
"C08 f01 s005 get featured offerings","C08-F01-S005-01 Test get featured offering belongs to catalog","ERROR","2017-10-22T16:40:27.848Z","0.0","0.52"
"C08 f01 s007 get article list","C08-F01-S007-01 Test get article","ERROR","2017-10-22T16:40:29.450Z","0.0","0.71"
"C08 f01 s008 get offering price","C08-F01-S008-01 Test get offering price","ERROR","2017-10-22T16:40:30.256Z","0.0","0.79"
"C08 f01 s009 get full category","C08-F01-S009-01 Test get full category structure","ERROR","2017-10-22T16:40:31.149Z","0.0","0.92"
"C08 f01 s010 add to cart","C08-F01-S010-01 Test add offering to cart","ERROR","2017-10-22T16:40:32.154Z","0.0","0.81"
"C08 f01 s011 update cart item quantity","C08-F01-S011-01 Test update item quantity in cart","ERROR","2017-10-22T16:40:32.975Z","0.0","0.89"
"C08 f02 s001 submit service request","C08-F02-S001-01 Test submit a order without form on service offering","ERROR","2017-10-22T16:40:34.049Z","0.0","0.71"
"C08 f02 s002 submit support request","C08-F02-S002-01 Test submit a generic support request","ERROR","2017-10-22T16:40:34.848Z","0.0","1.81"
"C08 f02 s003 submit cart order","C08-F02-S003-01 Test submit a cart order","ERROR","2017-10-22T16:40:36.745Z","0.0","0.42"
