"Story","Title","Result","Date","Stability","Duration (s)"
"C01 f01 s001 test connection ldap","C01-F01-S001-01 Test LDAP connection via SSL","SUCCESS","2017-10-22T16:21:52.759Z","0.0","36.8"
"C01 f01 s001 test connection ldap","C01-F01-S001-02 Test LDAP connection via non-SSL","SUCCESS","2017-10-22T16:22:29.562Z","0.0","35.76"
"C01 f01 s002 test connection db","C01-F01-S002-01 Connect Oracle database with default settings","SUCCESS","2017-10-22T16:23:05.327Z","0.0","13.8"
"C01 f01 s003 test connection smtpserver","C01-F01-S003-01 Connect Smtpserver with default settings","SUCCESS","2017-10-22T16:23:19.135Z","0.0","6.74"
"C01 f02 s001 change admin password","C01-F02-S001-01 With correct old password and new passord, password should be changed successfully","SUCCESS","2017-10-22T16:23:25.882Z","0.0","24.92"
"C01 f02 s001 change admin password","C01-F02-S001-10 With correct old password and new passord, password should be changed successfully - change back","SUCCESS","2017-10-22T16:23:50.799Z","0.0","21.16"
"C01 f03 s001 get sm rte pod status","C01-F03-S001-01 get sm ret pod status","SUCCESS","2017-10-22T16:24:11.961Z","0.0","1.11"
"C01 f014 s001 update propel tool status","C01-F04-S001-01 Connect propel tool with a random value","SUCCESS","2017-10-22T16:24:13.073Z","0.0","0.53"
"C01 f05 s001 get idm token","C01-F05-S001-01 get idm token","SUCCESS","2017-10-22T16:24:13.607Z","0.0","0.28"
"C01 f06 s001 check service manager","C01-F06-S001-01 Check Service Manager connection with correct value","SUCCESS","2017-10-22T16:24:13.893Z","0.0","0.78"
"C03 f01 s001 backup test","C03-F01-s001-01 post a backup","SUCCESS","2017-10-22T16:20:42.265Z","0.0","0.15"
"C03 f01 s001 backup test","C03-F01-s001-02 get backup status","SUCCESS","2017-10-22T16:20:42.411Z","0.0","3.97"
"C03 f01 s001 backup test","C03-F01-s001-03 post a backup secondly","SUCCESS","2017-10-22T16:20:46.383Z","0.0","0.09"
"C03 f01 s001 backup test","C03-F01-s001-04 get backup status until Suceesful","SUCCESS","2017-10-22T16:20:46.471Z","0.0","53.9"
