"Story","Title","Result","Date","Stability","Duration (s)"
"C01 f01 s001 test connection ldap","C01-F01-S001-01 Test LDAP connection via SSL","SUCCESS","2017-10-30T03:19:43.089Z","0.0","31.58"
"C01 f01 s001 test connection ldap","C01-F01-S001-02 Test LDAP connection via non-SSL","SUCCESS","2017-10-30T03:20:14.666Z","0.0","32.39"
"C01 f01 s002 test connection db","C01-F01-S002-01 Connect Oracle database with default settings","SUCCESS","2017-10-30T03:20:47.065Z","0.0","1.23"
"C01 f01 s003 test connection smtpserver","C01-F01-S003-01 Connect Smtpserver with default settings","SUCCESS","2017-10-30T03:20:48.297Z","0.0","7.66"
"C01 f02 s001 change admin password","C01-F02-S001-01 With correct old password and new passord, password should be changed successfully","SUCCESS","2017-10-30T03:20:55.976Z","0.0","28.23"
"C01 f02 s001 change admin password","C01-F02-S001-10 With correct old password and new passord, password should be changed successfully - change back","SUCCESS","2017-10-30T03:21:24.207Z","0.0","21.73"
"C01 f03 s001 get sm rte pod status","C01-F03-S001-01 get sm ret pod status","SUCCESS","2017-10-30T03:21:45.943Z","0.0","0.77"
"C01 f014 s001 update propel tool status","C01-F04-S001-01 Connect propel tool with a random value","SUCCESS","2017-10-30T03:21:46.717Z","0.0","0.71"
"C01 f05 s001 get idm token","C01-F05-S001-01 get idm token","SUCCESS","2017-10-30T03:21:47.430Z","0.0","0.32"
"C01 f06 s001 check service manager","C01-F06-S001-01 Check Service Manager connection with correct value","SUCCESS","2017-10-30T03:21:47.755Z","0.0","0.77"
