"Story","Title","Result","Date","Stability","Duration (s)"
"C01 f01 s001 test connection ldap","C01-F01-S001-01 Test LDAP connection via SSL","SUCCESS","2017-10-30T03:19:43.089Z","0.0","31.58"
"C01 f01 s001 test connection ldap","C01-F01-S001-02 Test LDAP connection via non-SSL","SUCCESS","2017-10-30T03:20:14.666Z","0.0","32.39"
"C01 f01 s002 test connection db","C01-F01-S002-01 Connect Oracle database with default settings","SUCCESS","2017-10-30T03:20:47.065Z","0.0","1.23"
"C01 f01 s003 test connection smtpserver","C01-F01-S003-01 Connect Smtpserver with default settings","SUCCESS","2017-10-30T03:20:48.297Z","0.0","7.66"
"C01 f02 s001 change admin password","C01-F02-S001-01 With correct old password and new passord, password should be changed successfully","SUCCESS","2017-10-30T03:20:55.976Z","0.0","28.23"
"C01 f02 s001 change admin password","C01-F02-S001-10 With correct old password and new passord, password should be changed successfully - change back","SUCCESS","2017-10-30T03:21:24.207Z","0.0","21.73"
"C01 f03 s001 get sm rte pod status","C01-F03-S001-01 get sm ret pod status","SUCCESS","2017-10-30T03:21:45.943Z","0.0","0.77"
"C01 f014 s001 update propel tool status","C01-F04-S001-01 Connect propel tool with a random value","SUCCESS","2017-10-30T03:21:46.717Z","0.0","0.71"
"C01 f05 s001 get idm token","C01-F05-S001-01 get idm token","SUCCESS","2017-10-30T03:21:47.430Z","0.0","0.32"
"C01 f06 s001 check service manager","C01-F06-S001-01 Check Service Manager connection with correct value","SUCCESS","2017-10-30T03:21:47.755Z","0.0","0.77"
"C02 f01 s001 installer oracle","C02-F01-s001-01 Connect Oracle database in installer with default settings","SUCCESS","2017-10-30T02:00:50.457Z","0.0","22.39"
"C02 f02 s002 test connection db","C02-F02-S002-01 provider PG server for service with right info","SUCCESS","2017-10-30T02:02:56.905Z","0.0","1.55"
"C03 f01 s001 backup test","C03-F01-s001-01 post a backup","SUCCESS","2017-10-30T03:19:14.103Z","0.0","0.15"
"C03 f01 s001 backup test","C03-F01-s001-02 get backup status","SUCCESS","2017-10-30T03:19:14.252Z","0.0","2.35"
"C03 f01 s001 backup test","C03-F01-s001-03 post a backup secondly","SUCCESS","2017-10-30T03:19:16.607Z","0.0","0.2"
"C03 f01 s001 backup test","C03-F01-s001-04 get backup status until Suceesful","SUCCESS","2017-10-30T03:19:16.808Z","0.0","21.83"
"C04 f00 cr22722 back slash cannot be handled correctly in idm startup shell","C04-F00-CR22722-01 prepare test data","SUCCESS","2017-10-30T03:07:55.653Z","0.0","1.11"
"C04 f00 cr22722 back slash cannot be handled correctly in idm startup shell","C04-F00-CR22722-02 check authentication with idmUsr2","SUCCESS","2017-10-30T03:08:23.655Z","0.0","1.1"
"C04 f00 cr22722 back slash cannot be handled correctly in idm startup shell","C04-F00-CR22722-02 check user authentication with idmUsr1","SUCCESS","2017-10-30T03:07:58.160Z","0.0","25.49"
"C04 f00 cr22722 back slash cannot be handled correctly in idm startup shell","C04-F00-CR22722-03 cleanup","SUCCESS","2017-10-30T03:08:24.847Z","0.0","0.11"
"C04 f00 s01 authentication internal user","C04-F00-S01-01 internal oldap user with valid login credential should get valid LWSSO_COOKIE_KEY","SUCCESS","2017-10-30T03:08:25.056Z","0.0","1.01"
"C04 f00 s01 authentication internal user","C04-F00-S01-03 internal sysadmin with valid login credential should get valid LWSSO_COOKIE_KEY","SUCCESS","2017-10-30T03:08:26.065Z","0.0","0.8"
"C04 f00 s01 authentication internal user","C04-F00-S01-05 internal oldap user with valid credential can access idm service","SUCCESS","2017-10-30T03:08:26.863Z","0.0","2.29"
"C06 f01 s001 check integrationpoint status","C06-F01-S001-01 Check SM integration ponit status","ERROR","2017-10-30T03:17:02.516Z","0.0","127.75"
"C07 f01 s001 integration status check","C07-F01-S001-01 Check Propel integration status with SM","SUCCESS","2017-10-30T03:14:21.148Z","0.0","11.6"
"C07 f01 s002 request service catalog item","C07-F01-S002-01 Request Service Catalog Item and Approve it","SUCCESS","2017-10-30T03:14:32.761Z","0.0","34.11"
"C07 f01 s003 request support catalog item","C07-F01-S003-01 Request Support Catalog Item","SUCCESS","2017-10-30T03:15:06.961Z","0.0","12.79"
"C07 f01 s004 view knowledge article","C07-F01-S004-01 View Knowledge Article","SUCCESS","2017-10-30T03:15:19.755Z","0.0","1.1"
"C07 f02 s001 search with universal","C07-F02-S001-01 Search with Universal","SUCCESS","2017-10-30T03:32:09.350Z","0.0","23.3"
