"Story","Title","Result","Date","Stability","Duration (s)"
"C02 f01 s001 installer oracle","C02-F01-s001-01 Connect Oracle database in installer with default settings","SUCCESS","2017-10-30T02:00:50.457Z","0.0","22.39"
"C02 f02 s002 test connection db","C02-F02-S002-01 provider PG server for service with right info","SUCCESS","2017-10-30T02:02:56.905Z","0.0","1.55"
"C02 f02 s001 test connection ldap","c02-F02-S001-01 Test LDAP connection via SSL","SUCCESS","2017-10-30T02:01:16.055Z","0.0","33.71"
"C02 f02 s001 test connection ldap","c02-F02-S001-02 Test LDAP connection via non-SSL","SUCCESS","2017-10-30T02:01:49.764Z","0.0","33.89"
"C02 f02 s001 test connection ldap","c02-F02-S001-33 Test LDAP connection  with  userFilter(no records under the groupclass)","SUCCESS","2017-10-30T02:02:23.652Z","0.0","33.24"
"C02 f02 s003 get service status","c02-F02-S003-01-get services' status","SUCCESS","2017-10-30T02:02:58.550Z","0.0","12.21"
"C02 f02 s004 get pod status","c02-F02-S004-01-get pod's status","SUCCESS","2017-10-30T02:03:10.767Z","0.0","4.18"
"C02 f02 s005 send manifest","c02-F02-S005-01-The service send manifest content to itsma deploy-controller","SUCCESS","2017-10-30T02:03:18.653Z","0.0","5.73"
"C02 f02 s005 create kube resources","c02-F02-S005-01-create kube resources for service itom-smartanalytics","SUCCESS","2017-10-30T02:03:14.959Z","0.0","3.61"
"C02 f02 s006 get install status","c02-F02-S006-01-get installation status by GET /itsma/install","SUCCESS","2017-10-30T02:03:24.456Z","0.0","1.31"
"C02 f02 s006 get install status","c02-F02-S006-02-get cetain services' installation status by GET /itsma/itsma_services/{itsmaServiceName}","SUCCESS","2017-10-30T02:03:25.767Z","0.0","1.79"
