"Story","Title","Result","Date","Stability","Duration (s)"
"C02 f01 s001 installer oracle","C02-F01-s001-01 Connect Oracle database in installer with default settings","SUCCESS","2017-10-30T15:00:30.001Z","0.0","19.6"
"C02 f02 s002 test connection db","C02-F02-S002-01 provider PG server for service with right info","SUCCESS","2017-10-30T15:02:38.864Z","0.0","0.89"
"C03 f01 s001 backup test","C03-F01-s001-01 post a backup","SUCCESS","2017-10-30T16:16:31.300Z","0.0","0.09"
"C03 f01 s001 backup test","C03-F01-s001-02 get backup status","SUCCESS","2017-10-30T16:16:31.389Z","0.0","2.24"
"C03 f01 s001 backup test","C03-F01-s001-03 post a backup secondly","SUCCESS","2017-10-30T16:16:33.633Z","0.0","0.1"
"C03 f01 s001 backup test","C03-F01-s001-04 get backup status until Suceesful","SUCCESS","2017-10-30T16:16:33.734Z","0.0","30.45"
"C06 f01 s001 check integrationpoint status","C06-F01-S001-01 Check SM integration ponit status","ERROR","2017-10-30T16:14:20.470Z","0.0","127.27"
"C08 f01 s001 get catalog list","C08-F01-S001-01 Test get category list","SUCCESS","2017-10-30T16:08:29.689Z","0.0","2.7"
"C08 f01 s002 get offering list","C08-F01-S002-01 Test get offering list belongs to catalog","SUCCESS","2017-10-30T16:47:30.494Z","0.0","29.39"
"C08 f01 s003 get offering detail","C08-F01-S003-01 Test get offering detail information","SUCCESS","2017-10-30T16:48:00.894Z","0.0","2.9"
"C08 f01 s004 get service list","C08-F01-S004-01 Test get service list belongs to catalog","SUCCESS","2017-10-30T16:48:03.888Z","0.0","1.8"
"C08 f01 s005 get featured offerings","C08-F01-S005-01 Test get featured offering belongs to catalog","SUCCESS","2017-10-30T16:48:05.795Z","0.0","3.29"
"C08 f01 s006 get catalog detail","C08-F01-S006-01 Test get category detail information","SUCCESS","2017-10-30T16:48:09.282Z","0.0","1.7"
"C08 f01 s007 get article list","C08-F01-S007-01 Test get article","FAILURE","2017-10-30T16:48:10.998Z","0.0","2.2"
"C08 f01 s008 get offering price","C08-F01-S008-01 Test get offering price","SUCCESS","2017-10-30T16:48:13.885Z","0.0","1.22"
"C08 f01 s009 get full category","C08-F01-S009-01 Test get full category structure","SUCCESS","2017-10-30T16:48:15.184Z","0.0","1.5"
"C08 f01 s010 add to cart","C08-F01-S010-01 Test add offering to cart","SUCCESS","2017-10-30T16:48:16.883Z","0.0","3.61"
"C08 f01 s011 update cart item quantity","C08-F01-S011-01 Test update item quantity in cart","SUCCESS","2017-10-30T16:48:20.584Z","0.0","3.82"
"C08 f02 s001 submit service request","C08-F02-S001-01 Test submit a order without form on service offering","SUCCESS","2017-10-30T16:48:24.414Z","0.0","2.26"
"C08 f02 s002 submit support request","C08-F02-S002-01 Test submit a generic support request","SUCCESS","2017-10-30T16:48:26.689Z","0.0","1.21"
"C08 f02 s003 submit cart order","C08-F02-S003-01 Test submit a cart order","SUCCESS","2017-10-30T16:48:27.987Z","0.0","3.28"
"C08 f03 s001 get chat status","C08-F03-S001-01 Test chat functionality is enabled","SUCCESS","2017-10-30T16:09:10.559Z","0.0","0.73"
"C08 f04 s001 auto suggested search","C08-F04-S001-01 Test auto suggested search only article and news","SUCCESS","2017-10-30T16:09:11.296Z","0.0","2.86"
"C08 f04 s001 auto suggested search","C08-F04-S001-02 Test auto suggested search only service offering","SUCCESS","2017-10-30T16:09:14.161Z","0.0","0.83"
"C08 f04 s001 auto suggested search","C08-F04-S001-03 Test auto suggested search only support offering","SUCCESS","2017-10-30T16:09:14.997Z","0.0","1.22"
"C08 f04 s002 search","C08-F04-S002-01 Test search","SUCCESS","2017-10-30T16:09:16.227Z","0.0","1.73"
"C08 f04 s003 search view article","C08-F04-S003-01 Test view article in search result","SUCCESS","2017-10-30T16:09:17.965Z","0.0","4.02"
"C02 f02 s003 get service status","c02-F02-S003-01-get services' status","SUCCESS","2017-10-30T15:02:39.783Z","0.0","5.82"
"C02 f02 s004 get pod status","c02-F02-S004-01-get pod's status","SUCCESS","2017-10-30T15:02:45.613Z","0.0","2.08"
"C02 f02 s005 send manifest","c02-F02-S005-01-The service send manifest content to itsma deploy-controller","SUCCESS","2017-10-30T15:02:50.998Z","0.0","3.4"
"C02 f02 s005 create kube resources","c02-F02-S005-01-create kube resources for service itom-smartanalytics","SUCCESS","2017-10-30T15:02:47.702Z","0.0","3.29"
"C02 f02 s006 get install status","c02-F02-S006-01-get installation status by GET /itsma/install","SUCCESS","2017-10-30T15:02:54.491Z","0.0","0.7"
"C02 f02 s006 get install status","c02-F02-S006-02-get cetain services' installation status by GET /itsma/itsma_services/{itsmaServiceName}","SUCCESS","2017-10-30T15:02:55.195Z","0.0","0.99"
