"Story","Title","Result","Date","Stability","Duration (s)"
"C07 f01 s001 integration status check","C07-F01-S001-01 Check Propel integration status with SM","SUCCESS","2017-10-30T16:11:55.404Z","0.0","11.98"
"C07 f01 s002 request service catalog item","C07-F01-S002-01 Request Service Catalog Item and Approve it","SUCCESS","2017-10-30T16:12:07.395Z","0.0","34.08"
"C07 f01 s003 request support catalog item","C07-F01-S003-01 Request Support Catalog Item","SUCCESS","2017-10-30T16:12:41.497Z","0.0","13.69"
"C07 f01 s004 view knowledge article","C07-F01-S004-01 View Knowledge Article","SUCCESS","2017-10-30T16:12:55.193Z","0.0","0.77"
"C07 f02 s001 search with universal","C07-F02-S001-01 Search with Universal","SUCCESS","2017-10-30T16:28:34.388Z","0.0","34.2"
"C07 f02 s002 search with knowledge service support item","C07-F02-S002-01 Search with Articel/Service/Support","SUCCESS","2017-10-30T16:29:09.382Z","0.0","5.21"
"C07 f02 s003 search with history","C07-F02-S003-01 Search with History","SUCCESS","2017-10-30T16:29:14.686Z","0.0","1.91"
"C07 f02 s004 search with typeahead","C07-F02-S004-01 Search with Typeahead","SUCCESS","2017-10-30T16:29:16.683Z","0.0","0.72"
"C07 f03 s001 add group and grant permission","C07-F03-S001-01 Add group and Grant permission","SUCCESS","2017-10-30T16:13:06.684Z","0.0","3.56"
"C07 f04 s001 catalog admin operations","C07-F04-S001-01 Catalog Admin Operations","SUCCESS","2017-10-30T16:13:10.254Z","0.0","0.77"
"C07 f04 s002 category admin operations","C07-F04-S002-01 Category Admin Operations","SUCCESS","2017-10-30T16:13:11.027Z","0.0","1.36"
"C07 f04 s003 policy admin operations","C07-F04-S003-01 Add Policy and update catalog item","SUCCESS","2017-10-30T16:13:12.389Z","0.0","1.86"
"C07 f04 s003 policy admin operations","C07-F04-S003-02 Order catalog item which has policy approval and approve it","SUCCESS","2017-10-30T16:13:14.253Z","0.0","17.93"
"C07 f04 s003 policy admin operations","C07-F04-S003-03 Delete Policy","SUCCESS","2017-10-30T16:13:32.184Z","0.0","0.53"
"C07 f04 s004 content admin operations","C07-F04-S004-01 Content Management Admin Operations","SUCCESS","2017-10-30T16:13:32.718Z","0.0","0.57"
"C07 f04 s005 supplier synchronize requests","C07-F04-S005-01 Supplier Synchronize Service Requests","SUCCESS","2017-10-30T16:13:33.295Z","0.0","15.23"
"C07 f04 s005 supplier synchronize requests","C07-F04-S005-02 Supplier Synchronize Support Requests","SUCCESS","2017-10-30T16:13:48.521Z","0.0","20.08"
