"Story","Title","Result","Date","Stability","Duration (s)"
"C01 f03 s001 get sm rte pod status","C01-F03-S001-01 get sm ret pod status","SUCCESS","2017-10-30T16:19:01.514Z","0.0","0.83"
"C01 f05 s001 get idm token","C01-F05-S001-01 get idm token","SUCCESS","2017-10-30T16:19:02.722Z","0.0","0.28"
"C01 f06 s001 check service manager","C01-F06-S001-01 Check Service Manager connection with correct value","SUCCESS","2017-10-30T16:19:03.004Z","0.0","0.8"
"C04 f00 cr22722 back slash cannot be handled correctly in idm startup shell","C04-F00-CR22722-01 prepare test data","SUCCESS","2017-10-30T16:07:05.396Z","0.0","0.39"
"C04 f00 cr22722 back slash cannot be handled correctly in idm startup shell","C04-F00-CR22722-02 check authentication with idmUsr2","SUCCESS","2017-10-30T16:07:34.794Z","0.0","1.2"
"C04 f00 cr22722 back slash cannot be handled correctly in idm startup shell","C04-F00-CR22722-02 check user authentication with idmUsr1","SUCCESS","2017-10-30T16:07:06.988Z","0.0","27.8"
"C04 f00 cr22722 back slash cannot be handled correctly in idm startup shell","C04-F00-CR22722-03 cleanup","SUCCESS","2017-10-30T16:07:35.993Z","0.0","0.3"
"C04 f00 s01 authentication internal user","C04-F00-S01-01 internal oldap user with valid login credential should get valid LWSSO_COOKIE_KEY","SUCCESS","2017-10-30T16:07:36.484Z","0.0","1.61"
"C04 f00 s01 authentication internal user","C04-F00-S01-03 internal sysadmin with valid login credential should get valid LWSSO_COOKIE_KEY","SUCCESS","2017-10-30T16:07:38.185Z","0.0","0.9"
"C04 f00 s01 authentication internal user","C04-F00-S01-05 internal oldap user with valid credential can access idm service","SUCCESS","2017-10-30T16:07:39.095Z","0.0","2.6"
"C07 f01 s001 integration status check","C07-F01-S001-01 Check Propel integration status with SM","SUCCESS","2017-10-30T16:11:55.404Z","0.0","11.98"
"C07 f01 s002 request service catalog item","C07-F01-S002-01 Request Service Catalog Item and Approve it","SUCCESS","2017-10-30T16:12:07.395Z","0.0","34.08"
"C07 f01 s003 request support catalog item","C07-F01-S003-01 Request Support Catalog Item","SUCCESS","2017-10-30T16:12:41.497Z","0.0","13.69"
"C07 f01 s004 view knowledge article","C07-F01-S004-01 View Knowledge Article","SUCCESS","2017-10-30T16:12:55.193Z","0.0","0.77"
"C07 f02 s001 search with universal","C07-F02-S001-01 Search with Universal","SUCCESS","2017-10-30T16:28:34.388Z","0.0","34.2"
"C07 f02 s002 search with knowledge service support item","C07-F02-S002-01 Search with Articel/Service/Support","SUCCESS","2017-10-30T16:29:09.382Z","0.0","5.21"
"C07 f02 s003 search with history","C07-F02-S003-01 Search with History","SUCCESS","2017-10-30T16:29:14.686Z","0.0","1.91"
"C07 f02 s004 search with typeahead","C07-F02-S004-01 Search with Typeahead","SUCCESS","2017-10-30T16:29:16.683Z","0.0","0.72"
"C07 f03 s001 add group and grant permission","C07-F03-S001-01 Add group and Grant permission","SUCCESS","2017-10-30T16:13:06.684Z","0.0","3.56"
"C07 f04 s001 catalog admin operations","C07-F04-S001-01 Catalog Admin Operations","SUCCESS","2017-10-30T16:13:10.254Z","0.0","0.77"
"C07 f04 s002 category admin operations","C07-F04-S002-01 Category Admin Operations","SUCCESS","2017-10-30T16:13:11.027Z","0.0","1.36"
"C07 f04 s003 policy admin operations","C07-F04-S003-01 Add Policy and update catalog item","SUCCESS","2017-10-30T16:13:12.389Z","0.0","1.86"
"C07 f04 s003 policy admin operations","C07-F04-S003-02 Order catalog item which has policy approval and approve it","SUCCESS","2017-10-30T16:13:14.253Z","0.0","17.93"
"C07 f04 s003 policy admin operations","C07-F04-S003-03 Delete Policy","SUCCESS","2017-10-30T16:13:32.184Z","0.0","0.53"
"C07 f04 s004 content admin operations","C07-F04-S004-01 Content Management Admin Operations","SUCCESS","2017-10-30T16:13:32.718Z","0.0","0.57"
"C07 f04 s005 supplier synchronize requests","C07-F04-S005-01 Supplier Synchronize Service Requests","SUCCESS","2017-10-30T16:13:33.295Z","0.0","15.23"
"C07 f04 s005 supplier synchronize requests","C07-F04-S005-02 Supplier Synchronize Support Requests","SUCCESS","2017-10-30T16:13:48.521Z","0.0","20.08"
"C10 f01 s001 check k8s version","C10-F01-S001-01 check API version","SUCCESS","2017-10-30T16:10:08.208Z","0.0","0.1"
"C10 f01 s001 check k8s version","C10-F01-S001-02 check TLS version","SUCCESS","2017-10-30T16:10:08.386Z","0.0","0.02"
"C10 f02 s001 check svc status","C10-F02-S001-01 check one deploy Status auth and others","SUCCESS","2017-10-30T16:10:08.483Z","0.0","57.72"
"C10 f02 s003 check all pod status","C10-F02-S003-01 check all pod status","SUCCESS","2017-10-30T16:11:06.523Z","0.0","0.58"
"C10 f03 s001 check configmap","C10-F03-S001-01 check configmap is created","SUCCESS","2017-10-30T16:11:07.105Z","0.0","2.22"
"C10 f03 s001 check configmap","C10-F03-S001-02 check configmap has detail value","SUCCESS","2017-10-30T16:11:09.331Z","0.0","19.89"
"C02 f02 s001 test connection ldap","c02-F02-S001-01 Test LDAP connection via SSL","SUCCESS","2017-10-30T15:00:53.583Z","0.0","37.78"
"C02 f02 s001 test connection ldap","c02-F02-S001-02 Test LDAP connection via non-SSL","SUCCESS","2017-10-30T15:01:31.363Z","0.0","36.11"
"C02 f02 s001 test connection ldap","c02-F02-S001-33 Test LDAP connection  with  userFilter(no records under the groupclass)","SUCCESS","2017-10-30T15:02:07.475Z","0.0","31.38"
