"Story","Title","Result","Date","Stability","Duration (s)"
"C02 f01 s001 installer oracle","C02-F01-s001-01 Connect Oracle database in installer with default settings","SUCCESS","2017-10-30T15:00:30.001Z","0.0","19.6"
"C02 f02 s002 test connection db","C02-F02-S002-01 provider PG server for service with right info","SUCCESS","2017-10-30T15:02:38.864Z","0.0","0.89"
"C03 f01 s001 backup test","C03-F01-s001-01 post a backup","SUCCESS","2017-10-30T16:16:31.300Z","0.0","0.09"
"C03 f01 s001 backup test","C03-F01-s001-02 get backup status","SUCCESS","2017-10-30T16:16:31.389Z","0.0","2.24"
"C03 f01 s001 backup test","C03-F01-s001-03 post a backup secondly","SUCCESS","2017-10-30T16:16:33.633Z","0.0","0.1"
"C03 f01 s001 backup test","C03-F01-s001-04 get backup status until Suceesful","SUCCESS","2017-10-30T16:16:33.734Z","0.0","30.45"
"C02 f02 s001 test connection ldap","c02-F02-S001-01 Test LDAP connection via SSL","SUCCESS","2017-10-30T15:00:53.583Z","0.0","37.78"
"C02 f02 s001 test connection ldap","c02-F02-S001-02 Test LDAP connection via non-SSL","SUCCESS","2017-10-30T15:01:31.363Z","0.0","36.11"
"C02 f02 s001 test connection ldap","c02-F02-S001-33 Test LDAP connection  with  userFilter(no records under the groupclass)","SUCCESS","2017-10-30T15:02:07.475Z","0.0","31.38"
"C02 f02 s003 get service status","c02-F02-S003-01-get services' status","SUCCESS","2017-10-30T15:02:39.783Z","0.0","5.82"
"C02 f02 s004 get pod status","c02-F02-S004-01-get pod's status","SUCCESS","2017-10-30T15:02:45.613Z","0.0","2.08"
"C02 f02 s005 send manifest","c02-F02-S005-01-The service send manifest content to itsma deploy-controller","SUCCESS","2017-10-30T15:02:50.998Z","0.0","3.4"
"C02 f02 s005 create kube resources","c02-F02-S005-01-create kube resources for service itom-smartanalytics","SUCCESS","2017-10-30T15:02:47.702Z","0.0","3.29"
"C02 f02 s006 get install status","c02-F02-S006-01-get installation status by GET /itsma/install","SUCCESS","2017-10-30T15:02:54.491Z","0.0","0.7"
"C02 f02 s006 get install status","c02-F02-S006-02-get cetain services' installation status by GET /itsma/itsma_services/{itsmaServiceName}","SUCCESS","2017-10-30T15:02:55.195Z","0.0","0.99"
