"Story","Title","Result","Date","Stability","Duration (s)"
"C02 f01 s001 installer oracle","C02-F01-s001-01 Connect Oracle database in installer with default settings","SUCCESS","2017-11-01T03:25:36.011Z","0.0","21.49"
"C02 f02 s002 test connection db","C02-F02-S002-01 provider PG server for service with right info","SUCCESS","2017-11-01T03:27:44.152Z","0.0","0.61"
"C02 f02 s001 test connection ldap","c02-F02-S001-01 Test LDAP connection via SSL","SUCCESS","2017-11-01T03:25:58.367Z","0.0","35.93"
"C02 f02 s001 test connection ldap","c02-F02-S001-02 Test LDAP connection via non-SSL","SUCCESS","2017-11-01T03:26:34.302Z","0.0","34.89"
"C02 f02 s001 test connection ldap","c02-F02-S001-33 Test LDAP connection  with  userFilter(no records under the groupclass)","SUCCESS","2017-11-01T03:27:09.195Z","0.0","34.95"
"C02 f02 s003 get service status","c02-F02-S003-01-get services' status","SUCCESS","2017-11-01T03:27:44.766Z","0.0","5.25"
"C02 f02 s004 get pod status","c02-F02-S004-01-get pod's status","SUCCESS","2017-11-01T03:27:50.097Z","0.0","3.12"
"C02 f02 s005 send manifest","c02-F02-S005-01-The service send manifest content to itsma deploy-controller","SUCCESS","2017-11-01T03:27:55.999Z","0.0","6.51"
"C02 f02 s005 create kube resources","c02-F02-S005-01-create kube resources for service itom-smartanalytics","SUCCESS","2017-11-01T03:27:53.298Z","0.0","2.62"
"C02 f02 s006 get install status","c02-F02-S006-01-get installation status by GET /itsma/install","SUCCESS","2017-11-01T03:28:02.604Z","0.0","1.0"
"C02 f02 s006 get install status","c02-F02-S006-02-get cetain services' installation status by GET /itsma/itsma_services/{itsmaServiceName}","SUCCESS","2017-11-01T03:28:03.609Z","0.0","1.25"
