"Story","Title","Result","Date","Stability","Duration (s)"
"C01 f01 s001 test connection ldap","C01-F01-S001-01 Test LDAP connection via SSL","SUCCESS","2017-11-01T04:42:51.903Z","0.0","31.61"
"C01 f01 s001 test connection ldap","C01-F01-S001-02 Test LDAP connection via non-SSL","SUCCESS","2017-11-01T04:43:23.511Z","0.0","29.85"
"C01 f01 s002 test connection db","C01-F01-S002-01 Connect Oracle database with default settings","SUCCESS","2017-11-01T04:43:53.367Z","0.0","1.52"
"C01 f01 s003 test connection smtpserver","C01-F01-S003-01 Connect Smtpserver with default settings","SUCCESS","2017-11-01T04:43:54.896Z","0.0","6.59"
"C01 f02 s001 change admin password","C01-F02-S001-01 With correct old password and new passord, password should be changed successfully","SUCCESS","2017-11-01T04:44:01.486Z","0.0","26.06"
"C01 f02 s001 change admin password","C01-F02-S001-10 With correct old password and new passord, password should be changed successfully - change back","SUCCESS","2017-11-01T04:44:27.551Z","0.0","21.49"
"C01 f03 s001 get sm rte pod status","C01-F03-S001-01 get sm ret pod status","SUCCESS","2017-11-01T04:44:49.049Z","0.0","0.74"
"C01 f014 s001 update propel tool status","C01-F04-S001-01 Connect propel tool with a random value","SUCCESS","2017-11-01T04:44:49.792Z","0.0","0.39"
"C01 f05 s001 get idm token","C01-F05-S001-01 get idm token","SUCCESS","2017-11-01T04:44:50.187Z","0.0","0.5"
"C01 f06 s001 check service manager","C01-F06-S001-01 Check Service Manager connection with correct value","SUCCESS","2017-11-01T04:44:50.695Z","0.0","0.67"
