"Story","Title","Result","Date","Stability","Duration (s)"
"C02 f01 s001 installer oracle","C02-F01-s001-01 Connect Oracle database in installer with default settings","SUCCESS","2017-11-01T03:25:36.011Z","0.0","21.49"
"C02 f02 s002 test connection db","C02-F02-S002-01 provider PG server for service with right info","SUCCESS","2017-11-01T03:27:44.152Z","0.0","0.61"
"C03 f01 s001 backup test","C03-F01-s001-01 post a backup","SUCCESS","2017-11-01T04:42:23.721Z","0.0","0.04"
"C03 f01 s001 backup test","C03-F01-s001-02 get backup status","SUCCESS","2017-11-01T04:42:23.762Z","0.0","2.24"
"C03 f01 s001 backup test","C03-F01-s001-03 post a backup secondly","SUCCESS","2017-11-01T04:42:26.007Z","0.0","0.1"
"C03 f01 s001 backup test","C03-F01-s001-04 get backup status until Suceesful","SUCCESS","2017-11-01T04:42:26.110Z","0.0","21.63"
"C06 f01 s001 check integrationpoint status","C06-F01-S001-01 Check SM integration ponit status","ERROR","2017-11-01T04:40:13.692Z","0.0","127.3"
"C08 f01 s001 get catalog list","C08-F01-S001-01 Test get category list","SUCCESS","2017-11-01T04:34:02.406Z","0.0","2.29"
"C08 f01 s002 get offering list","C08-F01-S002-01 Test get offering list belongs to catalog","SUCCESS","2017-11-01T05:01:03.404Z","0.0","21.3"
"C08 f01 s003 get offering detail","C08-F01-S003-01 Test get offering detail information","SUCCESS","2017-11-01T05:01:25.405Z","0.0","2.79"
"C08 f01 s004 get service list","C08-F01-S004-01 Test get service list belongs to catalog","SUCCESS","2017-11-01T05:01:28.203Z","0.0","1.4"
"C08 f01 s005 get featured offerings","C08-F01-S005-01 Test get featured offering belongs to catalog","SUCCESS","2017-11-01T05:01:29.697Z","0.0","2.6"
"C08 f01 s006 get catalog detail","C08-F01-S006-01 Test get category detail information","SUCCESS","2017-11-01T05:01:32.305Z","0.0","1.19"
"C08 f01 s007 get article list","C08-F01-S007-01 Test get article","FAILURE","2017-11-01T05:01:33.510Z","0.0","1.69"
"C08 f01 s008 get offering price","C08-F01-S008-01 Test get offering price","SUCCESS","2017-11-01T05:01:35.608Z","0.0","0.9"
"C08 f01 s009 get full category","C08-F01-S009-01 Test get full category structure","SUCCESS","2017-11-01T05:01:36.522Z","0.0","1.38"
"C08 f01 s010 add to cart","C08-F01-S010-01 Test add offering to cart","SUCCESS","2017-11-01T05:01:37.905Z","0.0","2.59"
"C08 f01 s011 update cart item quantity","C08-F01-S011-01 Test update item quantity in cart","SUCCESS","2017-11-01T05:01:40.510Z","0.0","2.29"
"C08 f02 s001 submit service request","C08-F02-S001-01 Test submit a order without form on service offering","SUCCESS","2017-11-01T05:01:42.802Z","0.0","3.61"
"C08 f02 s002 submit support request","C08-F02-S002-01 Test submit a generic support request","SUCCESS","2017-11-01T05:01:46.499Z","0.0","1.5"
"C08 f02 s003 submit cart order","C08-F02-S003-01 Test submit a cart order","SUCCESS","2017-11-01T05:01:48.011Z","0.0","4.79"
"C02 f02 s003 get service status","c02-F02-S003-01-get services' status","SUCCESS","2017-11-01T03:27:44.766Z","0.0","5.25"
"C02 f02 s004 get pod status","c02-F02-S004-01-get pod's status","SUCCESS","2017-11-01T03:27:50.097Z","0.0","3.12"
"C02 f02 s005 send manifest","c02-F02-S005-01-The service send manifest content to itsma deploy-controller","SUCCESS","2017-11-01T03:27:55.999Z","0.0","6.51"
"C02 f02 s005 create kube resources","c02-F02-S005-01-create kube resources for service itom-smartanalytics","SUCCESS","2017-11-01T03:27:53.298Z","0.0","2.62"
"C02 f02 s006 get install status","c02-F02-S006-01-get installation status by GET /itsma/install","SUCCESS","2017-11-01T03:28:02.604Z","0.0","1.0"
"C02 f02 s006 get install status","c02-F02-S006-02-get cetain services' installation status by GET /itsma/itsma_services/{itsmaServiceName}","SUCCESS","2017-11-01T03:28:03.609Z","0.0","1.25"
